,post,class
15735," of course . unlike many white racists  we aren't  "" mindless haters . "" "" the jewish "" "" finance shark "" "" isn't any worse than a white one """,implicit_hate
21080,What do you call a black guy with half a brain? Gifted,implicit_hate
17557," lmao  "" white bloc "" "" kkk in polos """,not_hate
4671,"  "" these people "" "" ? you mean the scores of "" "" white people "" "" who are in favor """,not_hate
2454,no country for minority white children : racist attacks by violent non-whites rising in america via,implicit_hate
10161,woah bro are you saying all illegal immigrants arent white ? what are you racist or something ?,not_hate
5468,we need to start enforce our laws . removing illegals and getting control of our visa's .,implicit_hate
6591," rt : same story with calling it  "" racist . "" "" muslims are not a race of people.islam is not a race . islam is an ideology . """,not_hate
17236,should have on #thisaltrightlife to discuss and the future of the white race . #listens,not_hate
82,true . swpl types weapjize blacks vs bad whites  and fetishize them w / mandingo or queen ( ie beyonc ) fantasies,implicit_hate
14112,both and evil to promote nwo .,not_hate
5377,the chessboard changes ... he was doing race realism in a 75 % white country that people perceived as 90 % white .,not_hate
6411,we'll see you ... in september ! #vvs16,not_hate
14061,and it's not a coincidence the best places to live are majority white,implicit_hate
3512,swiss government adopts new anti-money laundering rules,not_hate
9240,y'all say the tea party is racist which is another lie !,not_hate
1077,' god can do in a moment what we can't do in a lifetime . ' - #istandsunday watch live :,not_hate
20443,"no amnesty, for any illegal.",implicit_hate
754,the only known recording of adolf hitler's normal speaking voice #swrm #hitler #normalvoice via,not_hate
17341,this is promoted by  which has many ties to white supremacist hate groups #stopsanctuarycities,not_hate
20234,stamp out islamophobia? how about stamp out islam and the dark invaders? they have to go back.,implicit_hate
17652,: coming 2 america -> every 4.8 seconds a white woman or girl is raped by muslims in europe,implicit_hate
6562," expressing love for your own people makes you a  "" hate group "" "" if you're white . """,not_hate
20273,"good, it's about time. take away the incentives that make them come here illegally and watch the invasion stop.",implicit_hate
17994,it's so true and not only happening in germany . what kind of a poor refugee beats up another ? it's a terrorist in disguise,not_hate
21063,What do you call a black person on top of a church? Holy shit,implicit_hate
1709,the list of the racist traitors masquerading as congressional representatives of the american people .,not_hate
21197,"Criminals are like just normal, regular people... ... But with darker skin.",implicit_hate
9394,( ... but keep the pipeline open for white people ... shhhhh ),implicit_hate
19456,the best medicine for perverts is to ship to isil..they will take good care of u..,implicit_hate
14758,yeah i knew a muslim once  he was peaceful ... so ... that proves islam means peace . #tcot,implicit_hate
2263,he looks pretty white to me,not_hate
1808,where is angela merkel ? fury erupts at german leader amid munich shooting rampage,not_hate
1480,kejriwal refuses to salute tricolour at national flag-hoisting via,not_hate
7077,look white supremacists  u claim theres no racism  while pushing racist ideals .,not_hate
19627,"yes, and america was constructed entirely of cotton products.",implicit_hate
11921,when i was younger i used to ask my mom why i wasn't born black because i wanted to be black like my best friend  what do u think ?,not_hate
19004,two year culinary top full paid for culinary art school like so like wild bills a two year research then implementation,not_hate
13536,overheard va delegates say ' cruz is an egomaniac  how could he do that ? he hopes trump loses so he can run against hillary in 2020 ' #nbc4dc,not_hate
4486,these are the same people who yell about how they're not racist . this thread is so sad,not_hate
19724,oy vey! what is the matter with you nasty rats? why can't i be part of your little goy club ?,implicit_hate
19434,it's simple folks islam is evil. it has nothing to offer our civilization. my space will remain a 100% islam free zone as long as i live,implicit_hate
3085,booker and harris are racist,not_hate
6057,i'm surprised we still call it the white house   how much longer before that name is considered racist,not_hate
1500,live-stream : march for marriage in washington d . c . lifesitenews,not_hate
685,sellout debases himself to beg for jewish money & votes,implicit_hate
5322,russia remembers victims of great patriotic war on day of memory and grief,not_hate
11845,there's no race war . only a power struggle between two mutually exclusive and hostile groups of white p,not_hate
14804,"  "" everyone will be salted with fire . "" "" - jesus """,not_hate
16280,picket businesses and even homes of anti white corporate filth ! no more mister nice guy ! white man fight !,implicit_hate
4921,british nuclear submarine suffered external damage in gibraltar collision,not_hate
8953,only black thugs who rob stores and fight white cops and die lives matter .,implicit_hate
8799,if you ask me white kids should stay away from most black kids .. black youth are extremly hostile and negative in america these days .. sad but true,implicit_hate
11315,and since u have the answers.why do white people murder black people unjustly ?,not_hate
1931," by better looking i meant his appearance  he looked more  "" normal "" "" than previously  perhaps less orange ? """,implicit_hate
5721,#bodypartsmatter to us but not to obama blessing planned parenthood & defends muslims - illegals who kill kill every minute,implicit_hate
20588,"excellent. i'm guessing no cheeseburgers, no mixed blend clothing, no divorce or attending weddings of divorced people. of course, usury is out of the question. and you only have one coat.",implicit_hate
9267,you've lumped everyone into romney-ites instead of seeing most alt right not at charlottesville were who you're disparaging .,not_hate
13115,adolf hitlers secret ukrainian bunker revealed #swrm #ukraine #hitlersbunker via,not_hate
12993," rt : egyptian salafists :  "" the people who dont recognize islamic sharia wont enter paradise  "" "" and thos ... """,not_hate
13003," rt surely this is just another  "" mental illness "" "" inspired terror attack . #cve #willfulblindness #usualsuspects """,not_hate
4917,block me i dare you all you are is white trash kys,explicit_hate
17743,at 40.10  pulls the predictable trick of comparing to isis for reading islam the same way,not_hate
15075,cuckservatives : weve lost jonah goldberg : jonah goldberg takes his toys and goes home,explicit_hate
12905,yeah tell that to the alt right,not_hate
18304,uk : racist black man punches pregnant white girl in stomach as onlookers watch in horror via,implicit_hate
12485,jnu communist don kamal mitra joined aap today . credentials - isi funded fai's conference in us and unapologetic defence of pak every time .,not_hate
3699,with a nitro boost day in and day out . like the president says  america first and we won't accept anything else . fair immigration is ours to decide . thank you .,not_hate
12090," rt . 8/ before the  "" religious right  "" "" the south was very christian . it was also "" "" racist . "" "" we had "" "" white supremacy . "" "" abortion was illegal """,not_hate
13045,( the day is gone : its inexcusable ) delayed decisions on modi events were wrong  says election commission via,not_hate
7813,how's calling you jewish antisemitic ? you bring up the fact that you're a jew every time you speak,not_hate
11343,as we know jared taylor and dylann roof both think jews are white .,not_hate
1596,persecution of moderate muslims in uk . frightening stuff #religionofpeace,not_hate
16987,how trump empowers white supremacists and jihadis alike via,not_hate
16390,the only way we can bring people back to the middle is debating and actually talking to people . and end the culture of outrage,not_hate
20338,set them free after a train ride to the border.,implicit_hate
6362,this is great news for the milo brand,not_hate
17606,#bansharialaw #banthequran #wakeup #banislam #bancair #enoughisenough #muslimsaretheproblem #islamistheproblem,explicit_hate
7771,good thing taylor has organic white support,not_hate
17445,who lost the white working class ? via,not_hate
18670,dr . william pierce : george lincoln rockwell  a national socialist life #swrm via,not_hate
5886,but your senators  paid by israel and wall street  prefer to harm the christian people rather than defe,implicit_hate
11258,: god love you  sir ! and god save the south !,not_hate
13240,exercise your 2a with your 1a and watch those antifa faggots run .,explicit_hate
16919,final : white lives matter event page via,implicit_hate
11580,if there's going to be an ethnostate  we'll have to build it .,implicit_hate
17043,in both stories  why did school officials censor only religious activities ?,not_hate
19681,good british ginga grenes - from neanderthals. ;-),implicit_hate
9134,trump is white trash,explicit_hate
16927,frcs discusses why jihadists want to take away freedom of speech . panel : 11:30  canal a & c . #proclaim16,not_hate
629,not in my experience . when i shifted to irl from the internet  i noticed the women issue more or less disappeared,not_hate
8018,not sure how a private corporation not wanting white nationalists to spread hate on their platform is stupid .,not_hate
16119,i'd wager he and milo have similar sexual tastes .,not_hate
7672,because they are on the side of the antifa .,not_hate
18133,remind me what happened at uc berkeley at 8: 00 pm on feb 1st ?,not_hate
12866,white identity is timelesa,implicit_hate
10894,the aa  chicanos etc have been doing it for decades . it's time we be the university now,not_hate
1890,you're so stupid . jew is ethic  catholic is a religion .,implicit_hate
19238,"as a group, whites produce much more wealth than they """"take from the system.",implicit_hate
15701,"  "" beat up white people  whitey ! "" "" """,not_hate
12978," my family is british.your are just confused .  "" english white jew "" "" """,implicit_hate
1254,can i join your elite cod organisation . im a designer for the best team in the world ( bolt ) and can make non racist posters !,not_hate
1814,white girl bleed a lot : the return of race riots to america va,not_hate
6521,you think white children shld have thr countries colonized and destroyed ... bc white colonialism happened ?,implicit_hate
2814,you can expel white muslims too ! white christians is pretty much the basis of the identity .,implicit_hate
1373,how are they white supremacist though ?,not_hate
10862,straight from a white supremacists website lmao,not_hate
17329,there is plenty of evidence for racial differences in mental functions . those differences are not huge  but they exist .,not_hate
0,"  "" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """,implicit_hate
8170,the white house is currently a sanctuary for a moron .,implicit_hate
19889,"you know elder, hes a fake pos, pitty beiber tried to be like him his trump dis is whack like he smoked too much whacked wannabe like snoopy",implicit_hate
1960," rt  "" never before has our own federal government taken such a blatant and aggressive role in attacking your freedoms ! "" "" """,not_hate
4629,yeah the kkk gotta be stopped,not_hate
5894,can we get past white and black ? why are you still here ? ?,not_hate
2058,: most dangerous cities in america all have heavily non-white populations via,implicit_hate
21246,how can you tell if a shark met an asian ? its fins are missing .,implicit_hate
17483,you can help on your own . help us disseminate pro-white posters in your community . we need all hands active against white genocide,implicit_hate
330,boston holocaust museum vandalized arrest made the forward,not_hate
2845,"  "" white tax "" "" ... this us mayor wants special tax on white people via """,not_hate
13418,judge allows ultra-orthodox jews to continue the ritual sacrifice of chickens in nyc | more :,not_hate
5161,ivy league rich whites rule the democratic party for much longer .,implicit_hate
12355,good afternoon  zahra ! i am very well  thank you  and you ? how is the work for hamas going ?,not_hate
10959,to loudmouth idiot and racist jemele hill ; potus trump isn't a white supremacist but bill clinton is . i bet you vot,explicit_hate
10000,the latest the patriots daily ! thanks to #maga,not_hate
9527,blm is a racist hateful group,implicit_hate
19401,no sanc for islamists or illegals or ms13 thugs. time for us to just say no to these rats who infest our body politic and do us no good.,implicit_hate
2820,you mean if they would have been white  they would have done what whites have done ? they are merely pillaging the rich white creations .,not_hate
17300,the leaders who would import the ugliest most twisted people on the planet  to intermingle with the most,not_hate
17609,#flint #bonestown will show white perspective on current / leftist agendas,implicit_hate
5644," i think  "" certain people "" "" wanted a berkley in dc  but nobody cared about them . """,implicit_hate
4957,detroit : the death of white civilisation #swrm via,implicit_hate
12871,white people are going to fight back . we have every right to resist our own genocide .,implicit_hate
19242,worthless invading savages attack police after seeing macedonians building border,explicit_hate
11601,is white nationalism real ? :,not_hate
4170,if a politician won't say outright he is for the white race  its because he isn't ! vote right / vote white !,implicit_hate
11237,. there is dangerous power in using ' scientific ' findings to undermine gay marriage,implicit_hate
13078,: i thought we had to convince people in wisconsin .,not_hate
8197,to chastise everyone who isn't white by using white privilege to brain wash more white people ; essentially-assholes . tear those down .,not_hate
10613,i'm disappointed that michael flynn resigned . it is a huge mistake to feed the beast . who cares what these people think ?,not_hate
7946,likewise . karma bites antifa .,not_hate
15273,just don't allow any in and start hiring our american people to do the jobs .,implicit_hate
16505,what could be a greater waste of your time than asking your #truconservative congressman to stand up to political correctness ?,not_hate
5176,just contacted my state legislators to urge them to pass it in ga . unfortunately  govern,not_hate
5414,there's is and should be zero place in america for sicko's like you all ( kkk ) .,not_hate
15746," rt  "" white women should be hunted & killed "" "" ? ? this is already happening in america - there is a huge amount of black on white violence . """,implicit_hate
20658,we need to stop the flow of immigration in our country! all must be vetted! just obey the laws! deport criminals!,implicit_hate
10789,profiling is nothing more than common sense . common sense doesnt make one a racist . the only reason he was branded a racist is because the presstitutes thought he was a white guy .,not_hate
13033,#littlemarco camp was behind the #cubanmistresscrisis + there is allegedly a video of cruz coming in and out of a hotel,not_hate
2066,: pro-life leaders remember christian activist chuck colson,not_hate
6382,true . also they never really liked him . milo identifies as a liberal .,not_hate
8339,you found the white -->,not_hate
2353,is it black people ?,not_hate
15610,white house warns that more jihad mail bombs could be coming as white house muslim envoy decries ... via,not_hate
11665,michelle obama goes on racist tirade against white men at womens conference in pennsylvania,implicit_hate
16667," rt who believes this utter bs ? the fake  "" holocaust "" "" narrative is the most egregious and outrageous lie ever perpetrated against the world """,implicit_hate
2893," rt : 1 . : . promotes  "" conspiratorial #antimuslim agenda under pretext of fighting #radicalislam "" "" h """,not_hate
12145,. : illegal aliens should not be able to collect add'l child tax credit . #irs inspector gen exposed fraud . #cirmarkup,implicit_hate
18573,aclu apologizes to leftists for white baby ad via,not_hate
9174,what's a shame is because of people like this i have to explain to my white kids that their not evil because their white . i have teenagers .,not_hate
7452,"  "" white "" "" jews feel nothing 4 the lives of whites ! they only care about jews ! """,implicit_hate
21347,Don't worry about Mr. ________. He's just extremely Jewish.,implicit_hate
13823,yea  that'd be nice . we'll be sure to tell them that . and then when they don't then what ?,not_hate
14891,#lgbtq #lies #homophobia #bigotry sorry but you are still a hate group . deal with it via,not_hate
15798,( ( ( white guy ) ) ),not_hate
6455,white revolution *,implicit_hate
6402,wanted : infuriated young men to join the jihad via,not_hate
20621,no!!! close the gates!!,implicit_hate
8849,jharkhand cm promises to fulfil minority community's demands,not_hate
15442,speaks 2-3 p . m . today at values voter summit ! > > #pjnet #tcot #t2sda #orpuw #lnyhbt,not_hate
4859,amazing comments from the pope - considering vatican city is 100 % surrounded by massive walls .,not_hate
7299,this moderate is starting to hate antifa more than i hate nazis .,implicit_hate
11887,wait a minute . are you sure you're not a white guy with a black guy profile pic ? isn't trump racist ?,implicit_hate
12180,: south carolina : muslim arrested at airport for attempting to join the islamic state,not_hate
15866,adolf hitler - a short  nice video of our #aryan #hero : #courage #genius #integrity #honor,implicit_hate
108,"  "" people "" "" is being generous """,not_hate
1397,i resent kasich wasting so much of my time #gopdebate,not_hate
20561,why are we allowing migrants more rights than those who descended from slaves. lock up the syrians and let the blacks out!,implicit_hate
18223,the lord of the heavens ! russian air force an - 124 #naviation,not_hate
2223,extreme hypocrisy : wikipedia explains the difference between gay  asian  black pride and white,not_hate
4912,black thug attacks old white man with urine because of slavery #swrm #blackthug via,explicit_hate
363,cuck : a white church no more,explicit_hate
1592,pastors forced to marry gays is a made up problem . like catholic priests forced to wed jews . #nothappening,not_hate
20594,i think we know who the real heathens are. ship them back to port of origin.,implicit_hate
17648,: anarcho-tyranny : the corruption of charlottesville  va via,not_hate
15333,no sir it does not make you racist . racist believing that a particular race superior to another which has nothing to do w / guilt of crimes .,not_hate
15033,black power ya racist kkk,not_hate
20652,"rt anyone that wants to protect """"illegals"""" from deportation should go with them",implicit_hate
11658,martin luther king jr . message to white america ( laws vs sacrifices ),not_hate
11543,i didn't hear call him a democratic gay black racist either  did you ? !,not_hate
17633,. you mean hindus / jews / christians / etc stay in iraq & syria ? get lostttt .,not_hate
343,can you describe exactly what sneak attack was ? antifa hitting w / baseball bats ? throwing stuff ? punching ?,not_hate
13235,every time a jew shoots a palestinian  white zionism gets a little stronger .,explicit_hate
21181,A Muslim man said “Allah Akbar” But I thought he was sneezing so I said “god bless you” and I was blown away by his reaction.,implicit_hate
16729,: al-qaeda calls american blacks to jihad via,not_hate
12360,happy daddy's day ! rt : . reflects on her dad for #fathersday : coach  patriot  provider,not_hate
17850,good lord  if you're going to wear a suit  at least make sure it fits .,not_hate
1086,- declare antifa a terrorist organization  sign and share :,not_hate
19395,"no, ivory coast was thriving under france. it collapsed without whites.",implicit_hate
14746,why do you hate white ppl,not_hate
4648,you hate like a jew . you are fixated on hating white christians like a jew .,implicit_hate
20416,send them back to the countries they came from,implicit_hate
20878,Throw every one of the traitor son of a bitches off the bench and hang them RFN!!!!!!!!!!!!!!!!,explicit_hate
8349,you should probably vet people first .,not_hate
429,hi do you have to be white to join,not_hate
11736,ram rajya as rule of dharma returning to up and through it to india and the world  must be developed with dedication and devotion .,not_hate
17081,kill non believers - koran !,explicit_hate
5071,i found a lie recently  stop pretending robert look through his recent tweets and find,not_hate
14456,ok to hate new york city again : it looks like new york citys brief flirtation with white civilization ( 1994 ...,implicit_hate
2031,60 % of all mass shootings in america are done by white males .. can we register them,not_hate
7522," you believe in voting for the  "" lesser of two evils "" "" ? how about creating a system where you don't have to support evil ? ! ? #nationalsocialism """,not_hate
20201,cut daca now or we will be stuck with them forever,implicit_hate
18168,so if a white guy converts to judaism  he instantly changes race ? ok ...,not_hate
10516,freedom from religion found . files complaint against christian football coach dabo swinney,not_hate
4551,we've always had a black minority . if we had the ability to govern ourselves without interference  we could deal with any problem . as for the union  it is a recipe foe eternal gridlock and domination of the south,not_hate
4207,it is also not possible without indian help but when will we understand n will search them they r between us so alert,not_hate
3555,the unite the right rally is going to be a turning point for white identity in america,not_hate
14960,a new delhi road aurangjeb road should be renamed as sambhaji marg,not_hate
16905,every injury  act of property destruction  and shot fired tonight can be laid at the feet of the mainstream media . #ferguson,not_hate
9388,' black lives matter ' bans white people from meetings ...,not_hate
989," i particularly enjoyed the resounding chorus of chads united in parlance  "" affirmative action "" "" . we are truly a united people . """,not_hate
17563," okay  maybe it can explain every single  "" gap "" "" blamed on whites & racism . but still ... """,not_hate
3683,who is white ? the irish and italians were discriminated in the past . the germans have t,not_hate
3432,op ; white storm #wpww #whitegenocide,implicit_hate
15470,that's right ! to white nationalist ...,not_hate
19704,white trash = white person procreating with a non-white,implicit_hate
16590,you really should denounce your white privilege  lol,implicit_hate
6339,then we have the same standard  and you're no better . you just sided with people not your own because you loathe your own . probably because you hate yourself . you are a traitor .,implicit_hate
7635,all white sheriffs,not_hate
908,wow ! i wish you would go on and say that . #banallmuslims but the west is too stupid and can't believe islam is #islamonazism,explicit_hate
12040," all of these  "" kinks "" "" seem to be designed to emasculate the white male while encouraging the destruction of the white family . """,implicit_hate
8372,"  "" there are ( ( ( satanic ) ) ) "" "" in 1 taped conversation w / nixon in the white house """,not_hate
1570,oh i'm sure . it takes a long time . many generations . but it always happens . history is your friend,not_hate
21327,what 's the worst thing about being told you have alzheimer 's ? it dosen't happen at once,implicit_hate
2735,what's so bad for white men ?,not_hate
14675,we know you're not afraid to don the white robes and hood  tony  you sheister !,not_hate
5649," imagine being so crippled by white guilt  you become a  "" journalist "" "" and tell all white people they are 100 % racist . """,not_hate
11351,because he is #potus & should lead by example bring us together sell hope not polarize the population basically act like a mature adult,not_hate
7068,liberals say its the bush's fault blacks have suffered the most economically out of any demographic group under obama . they are pathetic !,not_hate
19178,more preoccupied by a frog or lizard than safety of americans! #buildthewall,implicit_hate
12960," because they know retards will hear  "" islam "" "" & will want to kill all muslims . duh ! """,explicit_hate
9760,jews are still white .,not_hate
7652,and you can encourage the white house by signing here : #religiousfreedom,not_hate
11419,democrats & too many republicans support violent anti-american anarchists . these people have support of,implicit_hate
2061,: new poll : golden dawn on the rise  despite the zionist persecution | read more,not_hate
15743," rt  "" i have never worked with a more miserable son of a b---h in my life  "" "" boehner says of cruz """,not_hate
18747,if people abuse their rights  it's ok for government to take it back,not_hate
19088,yes . eu is easier that way  because we already know white = ! white,not_hate
8210,ugh ... always trying to say they're equal to whites . couldn't be further from the truth .,implicit_hate
10593,i saw you at a gay night club . how can you be muslim ? #homo,implicit_hate
2859," glaciers  nordic women  peace and prosperity . libs tell me a white ethnostate is  "" racist . "" "" so what ? """,implicit_hate
5327,says the racist white privileged . stop  only making yourself look stupid af,explicit_hate
14783,you switch stories constantly . you got this fake media bull shi,not_hate
5998,how am i racist ? explain yourself . which race do i not like because i'm white and my kids are black and hispanic,not_hate
20255,"he would have been alive if she didn't come here for her freebies,,,",implicit_hate
13203,coming from a white guy pretending to be black ? makes sense .,implicit_hate
13469,moslem migrants sue german asylum centre for not giving them money fast enough | full story :,not_hate
7251,the greatest injustice in the black community is how we kill each other and blame it on the white man . this is due to brainwashing by the demokkkrats so stop blaming confederate statues  white supremacy  and the national anthem and take a look in the mirror !,not_hate
506,in england  you had the white flower girls that would give men dressed in civies white flowers of cowardice .,not_hate
21290,what 's the best way to wash down five hundred chocolates ? katrina .,implicit_hate
10292," total clown world we live in - non-whit invaders are welcomed into white countries  & white women end up  "" falling in love "" "" with them . """,not_hate
19805,you're just jealous you don't have a cute blonde to hose you down with tan.,implicit_hate
10220,"  "" you people "" "" they arent my people ? ? im white omg """,not_hate
4973,duke  perot  buchanan  trump ... only people worth voting for in recent memory .,not_hate
19679,"it just amazes me how so called starving people have energy to have sex, but no energy to help their own living standards.",implicit_hate
18977,these are our people :,not_hate
4215,it's about memeing everyone into accepting america as white supremacist,implicit_hate
13538,pakistan : foe of blasphemy law accused of hate speech for opposing blasphemy law,not_hate
4090,he's pretty oppressed  that's for sure . #poorrichard,not_hate
9649,how do explain their presence in syria now despite arab influx ? no european migration has occurred to the region since arab conquest,not_hate
20341,"stop all federal finding to all cities & states, with sanctuary cities, until laws are complied with! dts",implicit_hate
9492,antifa commissar here . i love to punch paid crisis actors . but when it's all over  i like to strip down,not_hate
3501,still not white,not_hate
7243,the black man confronting white supremacists on their own turf via,not_hate
18581,all white to this continent are immigrants what are we talking about me first p,not_hate
21286,what do you call a muslim at a peace rally ? lost .,implicit_hate
19287,i thought whites were destroying the planet by using these evil resourcesmake up your mind,implicit_hate
18333,well that dude doesn't respect white genders .,not_hate
2357,is white though .,not_hate
7542,' holocaust ' debate / comments / news burden of proof : the fables of russell's teapot and blobel's vanished ...,implicit_hate
14083,as it heats up this summer  please do not leave your pet in the car ! #humane #compassion #safety #love #think,not_hate
17023,i'll be sure to contact him know as his constituent i urge him to not vote yes on any budget that allots funds to wall .,not_hate
8603,black activists call for lynching and hanging of white people and cops via,implicit_hate
14755,y'all are probably white supremacists peopl,implicit_hate
489,if it's white it's right,implicit_hate
14114,breaking : white house : obama to meet with israel's netanyahu at white house on nov . 9 .,not_hate
1917," ' holocaust ' debate / comments / news grammy nominated rapper promotes  "" holocaust denier "" "" : supremacist jews w ... """,not_hate
2404,law enforcement is more worried about us nazis than the real threat isis .,not_hate
8035,oy vey ! guess who doesn't approve of blacks and whites working together in harmony !,not_hate
11169," rt another jew pretending to be white to lecture us about  "" racism "" "" - these people need to be deported to israel """,implicit_hate
17164,noticed you've been dabbling in race realism a bit . you might like the content of jared taylor of,not_hate
1908,"  "" i'm tired of hearing about optics . lots of larping nazis on cnn and msnbc are what we need for our cause . "" "" """,implicit_hate
19365,gingers are fitwomen that is..ginger men are aids,implicit_hate
6810,but the reality is that many of them want the white man's civilization without the white man in it .,implicit_hate
8187,this is civic nationalism and multicultralism in its finals stages ...,not_hate
244,: re : the holocaust industry's work in progress ...,not_hate
11019,what's the aim of simply marching ? do you hope to overturn white geno,not_hate
13378,in the wrong country . plenty islamic countries . no rights or benefits to those who refuse to pledge allegiance to our country .,implicit_hate
18807,lol #rino cucks got landslided by in #nh howd that taste cucks ?,not_hate
2961,4 / years ago  we started building up a real world network here in the south . it's great knowing so many people who share my politics,not_hate
6217,pelosi connects alt-right  white supremacist movements to trump in aipac speech via,not_hate
1143,: the last bastion of the white race : 90 % of young finnish people oppose more non-white immigration,implicit_hate
3126,cuckservatives : trump  tubmans  and trannyrestrooms,explicit_hate
4967,donate to the #altright ! w / more,not_hate
436,hope he takes them to court . overstepping boundaries .,not_hate
575,love you the bearer of aryan race ! ! see what is going on !,implicit_hate
6011,i agree with everything . black people are more racist than white people . sorry but is the truth .. thank you for your truth .,implicit_hate
9291," another day  another diversion tactic : 256 mass-murders in only 243 days . murderers nearly all  "" white "" "" . """,not_hate
2246,germans form vigilante groups after nye,not_hate
7950,lol bet you a large percentage of that is ( ( ( white ) ) ),not_hate
19788,"oh good, a little tb with your coffee?",implicit_hate
9859,or are you simply out to make whites innocent ...,not_hate
19912,then pl. do needful. also educate muslim girls to come out of their hell by marrying hindu boys.,implicit_hate
14480,post-abortive woman : seeing my aborted baby was the worst moment of my life,not_hate
18356,white fish,not_hate
7071,local market bales on christian farmers : religious freedom under attack,not_hate
20981,A wife is killed after a car drives through her living room and kills her. Who's fault is it? The wife's because she should've been in the kitchen,implicit_hate
19412,"i say them animals.don't need them here, unless?",implicit_hate
21084,What do you call a bunch of Muslim superheroes? Suicide squad,implicit_hate
1319,feel sorry for white and minority taxpayers,not_hate
4269,media matters is calling for a progressive ministry of truth to censor social media in order to control the narrative,not_hate
5209,members of national socialist movement rid kentucky of a heroin dealer via,not_hate
8428," rt a delegate directly asks cruz whether he will vote for trump .  "" i can tell you  i'm not voting for hillary . "" "" """,not_hate
3645,white 4 white,not_hate
1107,2017 : white people not wanting to be demographically annihilated is white supremacist,implicit_hate
20630,send them back to their motherlandillegal is illegal no matter what you call em,implicit_hate
3635,what out ancestors stole  you mean .,not_hate
8021,notte works for the university . do they condone this behavior ?,not_hate
17737,arizona seeks to cut funds to planned parenthood - the verde independent -,not_hate
8264,what's shocking is 34 % didn't think america settled by white euros . let's see : 12.3 % black pop +12.5 % brown pop + misc minorities + white cucks =,implicit_hate
5273,palestinians exists like texans or egyptians exist . human rights  including residency  don't depend on race or religion .,not_hate
18891,rabbi says synagogue fired him for welcoming nonwhite members via,not_hate
9352," same with the overt censorship from twitter and youtube that targets alt-right specifically . people become intrigued by a  "" forbidden "" "" idea . """,not_hate
8549,amen . stay strong  elder ! i'm standing with you ! !,not_hate
16923,for black history month  white nationalists plan white consciousness via,not_hate
9847,obama to announce amnesty in las vegas . no better place to gamble away our countrys future . #noamnesty #trueimmigrationreform #vegas,implicit_hate
9112,this is a must-see exchange between jared taylor ( a great advocate for white people ) and a muslim woman who wants to see white dispossession,not_hate
4885,are you one of those white nationalists ?,not_hate
15808,. says we're all old & white .,not_hate
6453,white race genocide nonwhites than be genocided,explicit_hate
850,when you are so cucked you are triggered by a white hat .. white  what are you in the kkk or something ?,implicit_hate
2536,same in white families . in america in general ... no fathers in the home !,not_hate
16072,holohoax from jew york ( 1943 ): nazis kill jews with homicidal gas cameras ! | read more :,explicit_hate
3442,people today just assume if you're white your,not_hate
6133,just spoke to a printer about reprinting the 50 page national geographic article as a booklet . getting a quote !,not_hate
47,i am not a white nationalist or a leftist in anyway but in your predicament  what gave you the idea to,not_hate
7902,it would be nice to have historically white colleges and universities . we have them in the south . that would be called * racist * though,implicit_hate
17242,so dear .. congrats .. youre now famous for your love for osama and for battling india to separate kashmir from india,implicit_hate
17941,ideology is a spectrum not an on-off thing . milo plays his role . you are not alt-right from one day to another . it is a process,not_hate
